barcode	x	y
cell_98	3740.2396288895425	4149.556999059916
cell_100	3339.011064495997	3444.3629004686204
cell_101	1726.9182084538068	3132.5556657028765
cell_102	2642.8244908384986	3632.811639855747
cell_103	3741.867403111617	4413.270143592613
cell_104	3605.6663166035587	3959.939713440509
cell_105	2825.718912495826	4139.971111324916
cell_106	2112.9313274450074	4636.040603543964
cell_107	2358.9651157061803	4390.9500230530175
cell_108	2543.6332867472083	4719.565593865039
cell_109	2746.674358264582	3595.1160086481395
cell_110	2302.7961839932145	4523.85048267345
cell_111	3451.9226103088376	3586.1958942058413
cell_112	3533.763210268367	4243.451694235035
cell_113	2552.451837900208	4601.549150983188
cell_114	2268.4480901034985	4205.620818496156
cell_115	1921.6819981626877	2585.7289216561912
cell_116	3769.897858576256	4468.418658783654
cell_117	2549.5023568835	3988.0958446510426
cell_118	3925.742035983362	4287.3009095313555
cell_119	3466.430325895289	3553.6053517204755
cell_120	3971.345329254476	4388.576985993077
cell_121	2218.7562572736865	4472.270014465798
cell_122	2919.3711837928886	2646.2822999542927
cell_123	2385.2048924940777	4430.754713567438
cell_124	2056.9495429619574	2048.4126479430192
cell_125	3581.768364896234	4790.197554010886
cell_126	2433.6069943337134	4630.310678687159
cell_127	2174.928744301512	4437.363221545174
cell_128	3458.132850138612	4768.49368135267
cell_129	3711.401213461636	4668.167023986825
cell_130	3325.5790392043073	3298.598037226308
cell_131	2580.183046077268	4860.145733638402
cell_133	3662.4856132823998	4829.600532275168
cell_134	2658.5546099874846	3796.300679291708
cell_135	3387.358892012642	3621.184080495514
cell_136	2293.9533646685045	3585.1222059802235
cell_137	2209.768110562987	4839.300290425055
cell_138	2573.518752551614	3634.3371157395372
cell_139	3819.277635543395	4424.792794769901
cell_140	3839.7125403316154	3895.1410189367716
cell_141	1175.3067525883562	2981.80058055777
cell_142	3789.5045369530712	4817.672653411316
cell_143	3814.6514920699237	4449.824915888008
cell_144	3468.025226176287	3628.5009257862835
cell_145	3474.2224704981554	3517.8484996094644
cell_146	3642.8613513692158	4108.401023697797
cell_147	2543.70160408495	3728.535278945369
cell_148	2234.139687412571	4414.832733014827
cell_149	2639.881052983072	3769.4564254174315
cell_150	1136.5311597011168	2932.05997851524
cell_151	2480.062570604443	4657.436802565869
cell_152	3580.8847091980906	3487.531687579331
cell_153	2602.592576491431	3839.5165241951718
cell_154	3083.752672300271	2429.689855308323
cell_155	2018.9170291327189	2188.0080700375647
cell_156	2263.9785027591142	4177.188243816322
cell_157	2493.8167054824994	4483.787952417469
cell_158	2439.755030126781	4489.9684058661705
cell_159	2376.3048931750077	4537.500873171025
cell_160	2408.349516561161	4744.617202994357
cell_161	3606.785405072677	4586.185962064107
cell_162	3367.7269606541545	2098.541674212665
cell_163	1633.7895406386642	2871.0419915719403
cell_164	2582.9999562511803	3719.4257447215596
cell_165	3874.513882689417	4392.246226373923
cell_166	2222.647131477443	4869.049427464922
cell_167	2779.25176259367	4483.024033586767
cell_168	2249.2716985666734	4491.455977041483
cell_169	3989.9265282650886	3753.396719536765
cell_170	1676.8410430712743	2366.145824644167
cell_171	3457.499832233108	3653.9358133961223
cell_172	3961.616675474704	3604.2885978713734
cell_173	1387.3207635492417	2132.680782120529
cell_174	2464.1806471426794	4476.583590686033
cell_175	2655.410576477814	3483.242630391446
cell_176	3139.1408967460916	3828.3802020742114
cell_177	2633.3344701949286	3843.4447334360643
cell_178	2790.663575356929	3663.1987150025498
cell_179	2192.0533241470907	4631.47955486659
cell_180	2354.125046317798	4488.129206929442
cell_181	2298.889473335516	4547.633963117118
cell_182	2555.6555355596374	4675.294451132501
cell_183	2368.4613291238525	3811.0809319486475
cell_184	2608.783017901464	3663.239996449217
cell_185	2535.252859059286	3799.628995669119
cell_186	3752.848182328116	4686.928314455111
cell_187	2309.6928231439756	4849.7791817435145
cell_188	2791.4324969963013	4137.450379976239
cell_189	2271.3184975069807	4690.961887382361
cell_190	2781.5389165109186	3937.8674474049935
cell_191	2432.7069985650364	4584.48386074915
cell_192	2302.342427782727	4564.113052468062
cell_193	2547.385178077959	4563.727090812394
cell_194	2395.363039819471	4333.707425060979
cell_195	2384.4670623476786	4398.407508085514
cell_196	3843.461142408274	3812.227882738462
cell_197	3786.803503211943	4245.774884754361
cell_198	3651.829174873241	4144.117534020683
cell_199	3620.3330456556355	4164.99872625019
cell_200	1642.1213969659223	2744.2995874609514
cell_201	2043.6350368528615	4798.294798651873
cell_202	3757.1067398221817	2297.5379082826394
cell_203	2477.668700194187	4827.354628868637
cell_204	3852.163416480663	2399.7247716095326
cell_205	1543.9671147904328	2998.1889858135723
cell_206	3466.238071450325	4270.94399658776
cell_207	1713.5107285497256	2063.0649394893467
cell_208	2527.6391610858063	3938.3430298669605
cell_209	3943.710996384955	4119.9699990322415
cell_211	3479.0825130049625	4030.6576456001744
cell_212	2061.939411563564	2180.807549469991
cell_213	2431.035560898062	4525.814896689818
cell_214	3978.254435867544	4468.5513718510265
cell_216	1433.615463691105	2599.236574027989
cell_217	2673.1664629679653	4200.517040097237
cell_218	3972.319161723884	4492.634795213513
cell_219	2658.2363271596814	4142.559250508262
cell_220	1764.3733079864596	4397.112126336112
cell_221	1805.375634343498	2598.698160838569
cell_222	1293.4734427808671	2233.951360498555
cell_223	2490.9356487244313	4849.49558270987
cell_224	2637.153269437933	3736.1757178985713
cell_225	2358.7105511806917	4437.268280639866
cell_226	3527.789261594448	4641.377622139887
cell_227	3816.3595505427324	3318.5064846730756
cell_228	2510.0711502635368	3695.511283991028
cell_229	2406.7790729248745	4501.363755253479
cell_230	2342.818352177981	4098.998675003058
cell_231	3817.485147168249	2345.0737814002455
cell_232	1125.148846501458	2972.1939885138886
cell_233	2785.965243813402	4094.807894968572
cell_234	2184.7648606480293	4657.888318832574
cell_235	2781.8062635014862	3895.1846433923556
cell_236	2355.3993248972965	4009.8307284097505
cell_237	2576.5130034364765	4796.88689759202
cell_238	3859.371029358044	2318.025712695992
cell_239	3974.3010847173305	2810.7832050960883
cell_240	2456.312116040257	4646.659359306508
cell_241	2655.141204837623	3667.704494693257
cell_242	3909.951245047236	2131.318528068387
cell_243	1147.3928225817485	2951.150789259364
cell_245	2282.69547539707	3752.531544654
cell_246	2386.4582094127923	3456.347404218912
cell_247	3423.900791342639	4209.175825073304
cell_248	3455.456203750717	4126.70537691691
cell_249	2350.3099549004887	4541.849404464087
cell_250	3554.8795147530027	4269.068446463771
cell_251	2531.688616734379	4827.229470872832
cell_253	2304.869292930405	3564.106639564902
cell_254	3784.0317031511768	2299.513707506231
cell_255	1588.2442570981987	4682.861947362852
cell_256	2396.719595977671	4526.454898994417
cell_257	3145.7765496866623	2229.8757916106847
cell_260	2246.8782787572395	2099.4708670269247
cell_261	2311.9879706952206	4598.936228605658
cell_262	2302.2129045341667	4320.987807534607
cell_263	2843.627703418081	4350.715029058075
cell_264	2367.9740048026597	4314.538131478144
cell_265	2543.225034580414	4396.709300901552
cell_266	2263.857814901105	4817.313835875232
cell_267	2465.46037534893	4372.068457936042
cell_268	3358.7039137299344	3734.4245288747643
cell_269	3584.915262760849	4826.206124755039
cell_270	2216.6841275980287	4437.902538504615
cell_272	3528.582722058422	4682.414263748561
cell_273	2172.892517411153	4790.680151647568
cell_274	3710.942595850278	4538.044932800013
cell_275	1535.5892527508618	2939.695671757814
cell_276	3957.3889747762983	4088.095525252148
cell_278	1684.3172365258931	2543.5165171831222
cell_279	2003.6667283369397	4017.4094399568307
cell_280	2239.9238726275603	4545.624057947362
cell_281	3813.024729553393	3832.5462705003097
cell_282	1933.5896399033768	4120.545265313304
cell_283	3314.7047978271253	3513.1144038828843
cell_285	2517.4223640270316	4121.109001284407
cell_286	1436.0848701150878	3366.7024998946085
cell_287	1528.543586581064	3039.831783159155
cell_289	2126.7410314586446	4653.023088805045
cell_290	2563.3839201485625	4703.646368218599
cell_291	2498.742216390445	4541.002828646436
cell_295	2341.9479131804023	4465.655339794543
cell_296	2227.401621042422	4506.45750539465
cell_297	2502.7661161136352	2593.5910942218547
cell_298	3876.4799867229954	4314.229802274509
cell_299	1969.470914627585	4061.679863774291
cell_300	3943.7652890378245	4207.574487670176
cell_301	3875.140232758839	4291.707587295142
cell_302	3776.3295056227457	4619.26570462176
cell_303	2776.0471545439113	3326.329036297675
cell_304	2462.341004963493	4615.590679352428
cell_305	4963.258125109032	2661.4031795536525
cell_306	5985.88406259786	4091.4907851891257
cell_307	4308.943310009376	3496.5140481628637
cell_308	5273.705667375626	3923.0103104928726
cell_309	5153.505145356523	3085.038124665865
cell_310	4579.840602417943	3154.9574405523736
cell_311	5547.403361476851	3023.8005110853737
cell_312	4677.012468280789	4504.953242009767
cell_313	5534.402061262538	4269.3108981854075
cell_314	6703.002503132546	3755.9674535492886
cell_315	4670.910327754321	3185.338035330369
cell_316	6270.3948513912555	3645.488784132951
cell_317	4431.595188049408	4183.541769655721
cell_319	5752.701258546074	2852.1798923754795
cell_320	6265.499736609022	2888.7854161161513
cell_321	5739.465119401858	3409.843952471273
cell_322	5616.183857889769	2858.929378501096
cell_323	6484.327978220397	4854.68042548492
cell_324	5462.360515162445	4841.71670353618
cell_325	4192.8643456970185	4540.589336307364
cell_326	6089.154813931872	4757.798711493996
cell_327	5630.329041543155	3420.66807204121
cell_328	6015.322546488623	4342.092599241782
cell_329	5051.324163560294	4469.321376009406
cell_330	5080.394765008089	3689.16398301303
cell_331	6409.8274928022465	2759.4598432308526
cell_333	4772.624849523677	4300.160692739125
cell_334	6157.832677587953	4836.636955036356
cell_335	6315.621928820582	3640.4720680154455
cell_336	4244.949345113419	3306.236483188905
cell_337	4832.634832439455	4596.368485719198
cell_338	4440.624757183545	3096.3432479738944
cell_339	5757.058971496258	3646.992167995298
cell_340	6849.830288561345	4190.735171328597
cell_341	4382.53629097949	4295.55136586869
cell_342	5872.771104928192	4186.605308738328
cell_343	5980.613086927522	4043.1548384467173
cell_344	5650.399153130953	3490.184961939968
cell_345	6673.1577054479585	4285.631287478805
cell_346	5570.545546184244	4025.387670389246
cell_347	6136.48620557608	4393.359776013304
cell_348	5670.925464952364	3242.506362456261
cell_349	5837.4670242982065	3237.80205879033
cell_350	4282.401148121873	4560.1227687873225
cell_352	5829.241574624564	4275.053576357906
cell_353	5772.9894790977405	3253.838828655811
cell_354	6505.520077882766	4617.181119893541
cell_355	4461.137575032608	4764.348285209177
cell_356	5509.131418057008	4306.502314850503
cell_357	6570.046041811197	4294.4806577575455
cell_358	5373.244686432116	3031.9040087691465
cell_359	5759.632184176128	2953.439150354094
cell_360	6204.081915816406	4186.176088177478
cell_361	6614.928568481567	2664.224823859849
cell_362	5034.542873142805	2671.9077374152403
cell_363	5677.032335991586	3558.273053340345
cell_364	4274.251189015412	3768.448396240308
cell_365	6365.938816537662	3233.513394332902
cell_366	4628.288205085675	4750.261248377064
cell_367	6401.181056475196	4709.2437487001125
cell_368	5309.351479122104	3880.0290349274746
cell_369	6690.205693938193	4686.86165969348
cell_370	5170.198954855135	2847.2168030495877
cell_371	5825.4230123214775	4594.954961633407
cell_372	6231.5384825658375	4309.0089784030815
cell_373	5171.64523790982	3519.189248228949
cell_374	6044.802327312332	4137.191603716735
cell_375	6072.194962084645	4599.36970596015
cell_376	6521.31412460514	4313.387228078874
cell_377	6248.062567685333	4080.7530500702237
cell_378	6526.368749170939	4168.864600473415
cell_379	5384.310758571253	4316.057692041597
cell_380	6104.665193009766	4685.716081490951
cell_381	5769.67284477723	3933.6835291540533
cell_382	4948.851028453603	4731.387895044185
cell_383	5606.635937202287	4551.541757751786
cell_384	4285.8345363202525	4338.269982333902
cell_385	6146.181307070152	4181.631617803757
cell_386	5459.339392761465	4156.539822989739
cell_387	5010.966289491155	4838.158133211394
cell_388	6274.424094060775	3975.950648117957
cell_390	5754.401891759621	3619.2571131081413
cell_391	4206.084325013713	4697.04536653452
cell_392	5653.540334399431	3789.8599412801245
cell_393	5472.77688834634	3326.234000747629
cell_394	6311.594114982691	4669.423062014607
cell_395	5692.70436202443	4534.8796136918945
cell_396	5573.337643420407	3018.417985996849
cell_397	5986.839297427698	3092.2184390731913
cell_398	4434.725995669032	4207.893685249533
cell_399	6281.237864504213	4003.666481622135
cell_400	6091.472604912035	4728.951496162271
cell_401	5083.895384107245	3933.1682216418494
cell_402	5684.836368818799	3585.511721453724
cell_403	5603.74758289094	3538.6692350728995
cell_405	4560.173296314414	3099.2070186903507
cell_406	5165.799427856992	3862.2158483933085
cell_407	4361.416342745473	2794.9984287091283
cell_408	4470.919420628026	4262.575443385174
cell_409	5589.61429987601	2991.0220303656106
cell_410	6515.8918789398385	2677.945912484241
cell_411	4543.99669768603	3395.9362866998545
cell_412	6318.092970869274	3459.32012677529
cell_413	6663.9273593702355	4417.238950599794
cell_414	5529.797116390792	3436.0585558171624
cell_415	5569.979370835478	3852.1231692894285
cell_416	4387.743336033255	4770.001108368737
cell_417	6247.207215988495	3422.9121927301685
cell_418	4313.641503944825	4581.0452978461035
cell_419	5733.283008162537	3524.0100925614065
cell_420	4181.160535600198	3190.3574211795703
cell_421	6443.23437045813	4312.478814660585
cell_422	4630.302793994576	4432.413993365397
cell_423	6045.671003458204	4297.721576780128
cell_424	6316.382547947652	3871.9863548756393
cell_425	4426.457258809979	3216.2309477555505
cell_426	6693.923110102641	4258.050958027505
cell_427	4454.363183547874	3249.7067370865107
cell_428	4586.439955912453	4513.259863688506
cell_429	5716.9349870885235	4675.322555371071
cell_430	5958.897241228235	3767.064299846243
cell_431	5545.924316743983	4460.225566968352
cell_432	6077.682485228488	4508.5301128045585
cell_433	6369.024296380996	4817.428176705439
cell_434	5410.57941976467	3516.322779322357
cell_435	5473.217895309145	3049.1450192518523
cell_436	6414.07843007458	3752.465115906669
cell_437	5841.0022170443735	3106.4528552551355
cell_438	4460.514915393287	3363.446629071611
cell_439	5814.43007944129	3438.5412477222385
cell_440	6067.130587474551	3416.868506723128
cell_441	4968.83018687484	3616.5390718124554
cell_442	6808.202487806257	2965.1972812647737
cell_443	4856.058221611092	4808.667831633627
cell_444	4385.695208911486	2824.291231639547
cell_445	4232.9968184118	4203.551945673157
cell_446	6583.5822233668905	4472.6623355966585
cell_447	6365.47448410182	3944.505222695293
cell_448	5074.47671779057	4586.965664388618
cell_449	5559.034292871997	3409.467302480717
cell_450	5943.775223085549	3482.8696930937235
cell_451	4660.6629539780015	3208.29503486515
cell_452	4421.801806834341	2943.954226262861
cell_453	6060.476289522928	2826.0857462173094
cell_454	4188.850682730262	4215.258140499546
cell_455	5843.363320144237	3034.976810464924
cell_456	6223.788260679171	4504.738355559383
cell_457	6296.412457272659	3832.697313969325
cell_458	4964.471145709795	4359.719190691102
cell_459	5426.622937214382	4331.230844421605
cell_460	5959.1795568680955	3871.559394399722
cell_461	6392.690880028353	4574.932988835725
cell_462	5742.849599706849	3258.3517183587987
cell_463	4749.329531029149	3027.629106804735
cell_464	4591.423975900782	3072.062150052347
cell_465	4470.19937489698	4338.11061348658
cell_466	6040.191448879168	4175.898933236133
cell_467	4753.985942671042	4657.0756358823755
cell_468	6457.3175074552055	3743.122712313016
cell_469	6520.213676871967	3925.691777456328
cell_470	6348.5977528512885	3369.4769948809617
cell_472	6068.560245768617	4642.654415005776
cell_473	6369.443863819647	2648.4367504841985
cell_474	4975.558734526915	3239.4250410001328
cell_475	5580.5846364452445	4240.447559345702
cell_476	4880.103305726987	4803.934726922818
cell_477	6416.123742939163	4636.489356502414
cell_478	6290.678474679591	2956.9034710286446
cell_479	5857.895720291484	4599.521924355449
cell_480	6247.500238779337	3443.568701210952
cell_481	4399.379797427209	4327.22745735165
cell_482	6332.964023666301	4405.477172695052
cell_483	5480.56303363926	4656.5094330458205
cell_484	5630.199834411065	4202.999769578787
cell_485	4743.842494255847	4477.068237775776
cell_486	5216.189729079557	3681.8498144860023
cell_487	5703.100337943293	3350.9597155821916
cell_488	4288.797668959899	4531.6616056630155
cell_489	6602.996607980851	3051.66156096571
cell_490	5768.800012753494	3593.833048459117
cell_491	6846.010288391898	3967.184816868975
cell_492	5521.788286728237	4717.470397123168
cell_493	6071.529953396515	3207.0992337049274
cell_494	6481.501503830055	2662.8760673717193
cell_495	5003.451432480707	3623.014106910332
cell_496	6199.351837210559	4659.35853002566
cell_497	5948.138633362045	4743.232873407099
cell_498	5534.517005982456	4064.2124206166927
cell_499	6791.013297114284	4056.7534295848777
cell_500	4691.359985744637	4727.32517894101
cell_502	4709.874657896241	4740.985087418581
cell_503	4274.107125190169	3297.5416611359065
cell_504	5241.423698890079	3662.253706712221
cell_505	4682.611747439204	4691.270568640204
cell_506	4763.127111253499	3426.329975534043
cell_507	5768.865300359976	3099.423155541329
cell_508	5748.97267712979	3371.496287774038
cell_509	6583.079235926111	2751.2824836896284
cell_510	5066.265631276927	2654.1186761181903
cell_511	4329.365251881842	2543.1549431698904
cell_512	5892.517310527865	4355.071317823277
cell_513	4715.336778922231	4530.986568419407
cell_514	5518.525670665439	3606.3076249681494
cell_515	6373.681810594897	3475.305609324344
cell_516	6617.604237184093	3813.1863113172044
cell_517	6349.229486470986	4064.514912115023
cell_518	6366.489573266181	4226.500177765246
cell_519	5841.642685206379	4380.797163035713
cell_520	6268.600634505248	4266.565986224825
cell_521	6215.640091176157	4280.80161392453
cell_522	4410.729922649097	2302.788895245839
cell_523	4258.670226824647	4320.532801558039
cell_524	6080.360046562587	4804.895175294439
cell_525	4888.299104103646	2804.310251229871
cell_526	6500.308128093634	2771.055595150029
cell_527	5635.116806427351	3808.0257243413507
cell_528	5162.939020060455	3553.660112877822
cell_529	6598.091917672378	4433.495443865993
cell_530	5868.491714128214	3349.5710199235523
cell_531	6224.182796497746	4369.878316295476
cell_532	4158.035406752322	2453.55714718266
cell_533	5049.98153599734	4293.232965622468
cell_534	6303.977529577432	4023.6366943279063
cell_535	6276.539833845264	3319.0201215811026
cell_536	4564.502135004217	2656.643784370875
cell_537	5744.718573525347	2903.655307055795
cell_538	5982.576504899934	4622.896596119535
cell_539	4763.436327199621	3805.3239505034594
cell_540	6150.012541463821	2366.6033397354445
cell_541	6243.053961974116	4010.0026332687917
cell_542	5549.6067248418985	4309.805059416245
cell_543	6054.374031700851	4318.325143789809
cell_544	6282.386449707645	3817.1047246027924
cell_545	5000.272127928935	4525.167936080184
cell_547	5464.974543759361	3785.071704673984
cell_548	4669.339886938377	3159.0182605293603
cell_549	6012.799266637328	4451.7620372521615
cell_550	6331.674278683462	4163.257883174428
cell_551	4228.054707207207	2753.6839351351355
cell_552	5536.283835140293	4416.621324951918
cell_554	6638.956256358088	3443.6987069967226
cell_555	4187.7369549055165	3835.2585873378575
cell_556	4292.850940050941	3680.2516753516747
cell_557	6849.466052085178	2720.452457122603
cell_558	5691.269158813739	4450.715786622113
cell_559	5161.376642200931	3833.147072816456
cell_560	5078.806822684282	4448.55304177705
cell_561	4117.691408307709	4683.6021846324575
cell_562	4515.860860126929	4303.922473573591
cell_563	4728.200840393471	4563.4026080488065
cell_564	5682.665918039307	3500.6698666308944
cell_565	5663.026907148052	4551.946458467257
cell_566	6299.134838116029	3192.8924637380965
cell_567	5752.576957663592	2613.683021958717
cell_568	5472.665442044413	3304.2794071601534
cell_569	6295.064384121384	4120.368648201999
cell_570	5550.4930672236715	4862.504611706286
cell_571	6589.225023871678	4517.267409218979
cell_572	5649.4141609406015	4490.427368453196
cell_573	5044.693716330886	4821.500065157644
cell_574	4836.484876905559	4468.072081274389
cell_575	5740.661377735419	3547.7606261998953
cell_576	5237.939647504487	3585.5028068624583
cell_577	5001.234116961833	3037.9061697143475
cell_578	5125.304707919314	3548.8725561969136
cell_579	4840.439058902074	3163.2300886877365
cell_580	4752.332149942974	4545.339354588558
cell_581	4301.468259525627	3780.7079694209356
cell_582	4048.0431599302196	4062.0131366071405
cell_583	5875.895418758881	4854.814295264034
cell_584	6220.692586542062	3848.4815979739988
cell_585	6316.4166225531735	4292.935492727774
cell_586	6134.030791651729	3176.8407384748875
cell_587	4346.614062729524	4291.783554546761
cell_588	5993.272186548456	4636.665828430627
cell_589	5037.527396725996	4274.121862777676
cell_590	6666.328262480638	3686.045364367911
cell_591	4270.990165849403	3693.0141685932294
cell_592	4559.894496053625	4823.863739815376
cell_594	6033.102238281018	3127.068326292829
cell_596	6305.1933901190105	2753.9843838382008
cell_597	6119.45907747791	3602.4097516088837
cell_598	5574.971698588597	3974.79627375023
cell_599	4947.289242855642	3882.885838208756
cell_600	4587.953444261935	3095.697051963561
cell_601	4630.905122757638	4548.1886677161465
cell_602	6240.276777446924	4475.1623188912645
cell_603	6661.356829441428	4099.945285161796
cell_604	5874.974067523945	4041.5693584124297
cell_605	4308.330938246648	2016.1031657422568
cell_606	6390.220348127851	4119.627887998426
cell_607	6059.917737911957	4432.931098806602
cell_608	4502.173949279998	4453.408997344269
cell_609	4878.325804394833	4672.29205769835
cell_610	6190.537470467387	2755.163454765573
cell_611	6498.282555374063	4263.150906138222
cell_612	6540.702708896571	4639.734884597797
cell_613	6201.253772652916	2684.6676218868884
cell_614	6233.835946424881	3775.9932205568753
cell_615	6361.863650317054	3578.5656553765057
cell_616	4310.953829278723	2938.540017740694
cell_617	4711.376814896374	4850.034210329687
cell_618	6087.85	3255.65
cell_619	4201.7073920321645	2376.852021960889
cell_620	6676.375502671609	4859.006661523231
cell_621	4504.47378831998	4417.946616089276
cell_622	4644.976672008573	4411.601021951745
cell_623	4545.441012603618	4767.645940032665
cell_624	4894.832962159669	2667.7107698288833
cell_626	4195.651157705449	4181.581820948858
cell_627	6659.712907446079	2624.6584635155573
cell_628	6580.226066358474	4019.444959167378
cell_629	4861.44703106141	3421.6034980417276
cell_630	4348.741663983048	3569.9604554916145
cell_631	4309.329720400754	4439.668076036751
cell_632	5614.020876405149	3574.561727764976
cell_633	5289.409370407244	3050.5179197638527
cell_634	6247.941030715481	3464.327682425503
cell_635	5944.66105479631	3279.166998739977
cell_636	4076.8904095163853	4509.6205288116225
cell_637	5826.383473137947	3815.1883631800574
cell_638	5778.508742849217	2990.194244005078
cell_639	6780.2819367779	4182.105776109976
cell_640	6720.892177758821	4270.596565972467
cell_641	4465.006430615677	4204.639170105631
cell_642	6060.6896537138355	4472.050448232986
cell_643	6037.039906922165	2919.0540683721206
cell_644	5086.5241906759475	3183.531935120116
cell_645	6516.30098495595	4079.2826569821223
cell_646	6370.614411708565	3264.4867109983993
cell_647	6848.339552612744	2639.8361415487398
cell_648	4035.681638537013	2826.2003813609404
cell_649	4302.554258959804	4227.327619741725
cell_650	6213.279593304755	2914.217464871285
cell_651	4988.948191281977	3547.1141122813206
cell_652	5027.3469394370595	4444.146071646081
cell_653	5984.825039392425	2778.867659184552
cell_654	5732.3492800199765	4393.081769908504
cell_655	4599.844950295973	4436.100835131694
cell_656	5773.213665318073	4741.665857510686
cell_657	5884.826914785515	3167.906796578558
cell_658	6204.990670328869	3481.818408973942
cell_659	6139.2725707551235	4665.039786131476
cell_660	4838.922451480823	4388.004108572134
cell_661	5175.800231325486	3671.557517279524
cell_662	6255.865371662835	2682.599862683348
cell_663	4406.992895801051	2915.0412794638246
cell_664	6332.448879017545	3424.8010270472646
cell_665	6456.642206605851	4642.3294826818965
cell_666	6049.679030051257	4342.553756361305
cell_667	5504.176938665474	3972.1240873392117
cell_668	6312.012982405705	2877.9167090228084
cell_669	6449.870341614053	3158.650860732366
cell_670	4628.8133336676865	4373.966335545636
cell_671	4614.746731988184	4579.734356370724
cell_672	5474.862544270691	4250.960280335638
cell_674	5661.727052235897	3318.0285264187564
cell_675	5811.621703485518	2882.7904960317464
cell_676	5537.7758076639675	4341.282863173969
cell_677	6811.9862001254	3087.143739620849
cell_678	6317.166979195407	3899.413657161063
cell_679	6413.961647033361	3322.738595574518
cell_680	4624.523955403218	4454.6387451252895
cell_681	6004.657964966039	2807.492774424187
cell_682	5629.839494637222	4003.921943839852
